celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week,elimination_week,observed_elimination,active,judge_count,judge_total,judge_mean
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,Eliminated Week 9,4,5,9.0,False,True,3,24.0,8.0
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,Eliminated Week 8,5,5,8.0,False,True,3,27.0,9.0
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,Eliminated Week 7,6,5,7.0,False,True,3,23.0,7.666666666666667
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,Eliminated Week 6,7,5,6.0,False,True,3,22.0,7.333333333333333
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,Eliminated Week 5,8,5,5.0,True,True,3,21.0,7.0
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,Eliminated Week 4,9,5,4.0,False,False,3,0.0,0.0
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,Eliminated Week 3,10,5,3.0,False,False,3,0.0,0.0
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,Eliminated Week 2,11,5,2.0,False,False,3,0.0,0.0
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,Eliminated Week 2,12,5,2.0,False,False,3,0.0,0.0
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1st Place,1,6,,False,True,3,30.0,10.0
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2nd Place,2,6,,False,True,3,24.0,8.0
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3rd Place,3,6,,False,True,3,27.0,9.0
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,Eliminated Week 9,4,6,9.0,False,True,3,26.0,8.666666666666666
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,Eliminated Week 8,5,6,8.0,False,True,3,28.0,9.333333333333334
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,Eliminated Week 7,6,6,7.0,False,True,3,24.0,8.0
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,Eliminated Week 6,7,6,6.0,True,True,3,21.0,7.0
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,Eliminated Week 5,8,6,5.0,False,False,3,0.0,0.0
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,Eliminated Week 4,9,6,4.0,False,False,3,0.0,0.0
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,Eliminated Week 3,10,6,3.0,False,False,3,0.0,0.0
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,Eliminated Week 2,11,6,2.0,False,False,3,0.0,0.0
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,Eliminated Week 2,12,6,2.0,False,False,3,0.0,0.0
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1st Place,1,7,,False,True,3,27.0,9.0
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2nd Place,2,7,,False,True,3,27.5,9.166666666666666
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3rd Place,3,7,,False,True,3,23.0,7.666666666666667
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,Eliminated Week 9,4,7,9.0,False,True,3,26.0,8.666666666666666
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,Eliminated Week 8,5,7,8.0,False,True,3,25.5,8.5
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,Eliminated Week 7,6,7,7.0,True,True,3,25.5,8.5
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,Eliminated Week 6,7,7,6.0,False,False,3,0.0,0.0
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,Eliminated Week 5,8,7,5.0,False,False,3,0.0,0.0
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,Eliminated Week 4,9,7,4.0,False,False,3,0.0,0.0
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,Eliminated Week 3,10,7,3.0,False,False,3,0.0,0.0
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,Eliminated Week 2,11,7,2.0,False,False,3,0.0,0.0
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,Eliminated Week 2,12,7,2.0,False,False,3,0.0,0.0
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1st Place,1,8,,False,True,3,27.5,9.166666666666666
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2nd Place,2,8,,False,True,3,26.0,8.666666666666666
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3rd Place,3,8,,False,True,3,28.5,9.5
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,Eliminated Week 9,4,8,9.0,False,True,3,25.0,8.333333333333334
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,Eliminated Week 8,5,8,8.0,True,True,3,26.5,8.833333333333334
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,Eliminated Week 7,6,8,7.0,False,False,3,0.0,0.0
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,Eliminated Week 6,7,8,6.0,False,False,3,0.0,0.0
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,Eliminated Week 5,8,8,5.0,False,False,3,0.0,0.0
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,Eliminated Week 4,9,8,4.0,False,False,3,0.0,0.0
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,Eliminated Week 3,10,8,3.0,False,False,3,0.0,0.0
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,Eliminated Week 2,11,8,2.0,False,False,3,0.0,0.0
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,Eliminated Week 2,12,8,2.0,False,False,3,0.0,0.0
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1st Place,1,9,,False,True,3,28.5,9.5
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2nd Place,2,9,,False,True,3,27.5,9.166666666666666
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3rd Place,3,9,,False,True,3,28.0,9.333333333333334
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,Eliminated Week 9,4,9,9.0,True,True,3,26.0,8.666666666666666
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,Eliminated Week 8,5,9,8.0,False,False,3,0.0,0.0
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,Eliminated Week 7,6,9,7.0,False,False,3,0.0,0.0
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,Eliminated Week 6,7,9,6.0,False,False,3,0.0,0.0
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,Eliminated Week 5,8,9,5.0,False,False,3,0.0,0.0
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,Eliminated Week 4,9,9,4.0,False,False,3,0.0,0.0
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,Eliminated Week 3,10,9,3.0,False,False,3,0.0,0.0
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,Eliminated Week 2,11,9,2.0,False,False,3,0.0,0.0
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,Eliminated Week 2,12,9,2.0,False,False,3,0.0,0.0
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1st Place,1,10,,False,True,3,30.0,10.0
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2nd Place,2,10,,False,True,3,28.5,9.5
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3rd Place,3,10,,False,True,3,26.0,8.666666666666666
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,Eliminated Week 9,4,10,9.0,False,False,3,0.0,0.0
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,Eliminated Week 8,5,10,8.0,False,False,3,0.0,0.0
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,Eliminated Week 7,6,10,7.0,False,False,3,0.0,0.0
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,Eliminated Week 6,7,10,6.0,False,False,3,0.0,0.0
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,Eliminated Week 5,8,10,5.0,False,False,3,0.0,0.0
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,Eliminated Week 4,9,10,4.0,False,False,3,0.0,0.0
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,Eliminated Week 3,10,10,3.0,False,False,3,0.0,0.0
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,Eliminated Week 2,11,10,2.0,False,False,3,0.0,0.0
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,Eliminated Week 2,12,10,2.0,False,False,3,0.0,0.0
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,1,,False,True,3,24.5,8.166666666666666
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2nd Place,2,1,,False,True,3,21.5,7.166666666666667
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,1,,False,True,3,21.5,7.166666666666667
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,Eliminated Week 9,4,1,9.0,False,True,3,20.5,6.833333333333333
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,1,8.0,False,True,3,19.5,6.5
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,Eliminated Week 7,6,1,7.0,False,True,3,18.5,6.166666666666667
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,7,1,6.0,False,True,3,16.0,5.333333333333333
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,1,5.0,False,True,3,22.5,7.5
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,1,4.0,False,True,3,17.5,5.833333333333333
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,Withdrew,10,1,,False,True,3,21.0,7.0
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,1,2.0,False,True,3,18.5,6.166666666666667
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,Eliminated Week 1,12,1,1.0,True,True,3,18.5,6.166666666666667
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,Eliminated Week 1,13,1,1.0,True,True,3,12.0,4.0
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,2,,False,True,3,24.0,8.0
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2nd Place,2,2,,False,True,3,24.0,8.0
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,2,,False,True,3,20.0,6.666666666666667
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,Eliminated Week 9,4,2,9.0,False,True,3,21.0,7.0
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,2,8.0,False,True,3,19.0,6.333333333333333
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,Eliminated Week 7,6,2,7.0,False,True,3,21.0,7.0
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,7,2,6.0,False,True,3,15.0,5.0
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,2,5.0,False,True,3,23.0,7.666666666666667
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,2,4.0,False,True,3,16.0,5.333333333333333
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,Withdrew,10,2,,False,True,3,21.0,7.0
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,2,2.0,True,True,3,17.0,5.666666666666667
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,Eliminated Week 1,12,2,1.0,False,False,3,0.0,0.0
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,Eliminated Week 1,13,2,1.0,False,False,3,0.0,0.0
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,3,,False,True,3,28.0,9.333333333333334
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2nd Place,2,3,,False,True,3,25.0,8.333333333333334
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,3,,False,True,3,22.0,7.333333333333333
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,Eliminated Week 9,4,3,9.0,False,True,3,21.0,7.0
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,3,8.0,False,True,3,24.0,8.0
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,Eliminated Week 7,6,3,7.0,False,True,3,21.0,7.0
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,7,3,6.0,False,True,3,16.0,5.333333333333333
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,3,5.0,False,True,3,22.0,7.333333333333333
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,3,4.0,False,True,3,20.0,6.666666666666667
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,Withdrew,10,3,,False,False,3,0.0,0.0
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,3,2.0,False,False,3,0.0,0.0
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,Eliminated Week 1,12,3,1.0,False,False,3,0.0,0.0
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,Eliminated Week 1,13,3,1.0,False,False,3,0.0,0.0
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,4,,False,True,3,26.0,8.666666666666666
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2nd Place,2,4,,False,True,3,22.0,7.333333333333333
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,4,,False,True,3,26.0,8.666666666666666
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,Eliminated Week 9,4,4,9.0,False,True,3,23.0,7.666666666666667
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,4,8.0,False,True,3,20.0,6.666666666666667
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,Eliminated Week 7,6,4,7.0,False,True,3,24.0,8.0
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,7,4,6.0,False,True,3,22.0,7.333333333333333
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,4,5.0,False,True,3,22.0,7.333333333333333
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,4,4.0,True,True,3,18.0,6.0
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,Withdrew,10,4,,False,False,3,0.0,0.0
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,4,2.0,False,False,3,0.0,0.0
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,Eliminated Week 1,12,4,1.0,False,False,3,0.0,0.0
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,Eliminated Week 1,13,4,1.0,False,False,3,0.0,0.0
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,5,,False,True,3,29.0,9.666666666666666
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2nd Place,2,5,,False,True,3,25.0,8.333333333333334
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,5,,False,True,3,21.0,7.0
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,Eliminated Week 9,4,5,9.0,False,True,3,28.0,9.333333333333334
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,5,8.0,False,True,3,27.0,9.0
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,Eliminated Week 7,6,5,7.0,False,True,3,22.0,7.333333333333333
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,7,5,6.0,False,True,3,21.0,7.0
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,5,5.0,True,True,3,22.0,7.333333333333333
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,5,4.0,False,False,3,0.0,0.0
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,Withdrew,10,5,,False,False,3,0.0,0.0
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,5,2.0,False,False,3,0.0,0.0
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,Eliminated Week 1,12,5,1.0,False,False,3,0.0,0.0
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,Eliminated Week 1,13,5,1.0,False,False,3,0.0,0.0
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,6,,False,True,3,26.0,8.666666666666666
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2nd Place,2,6,,False,True,3,25.0,8.333333333333334
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,6,,False,True,3,27.0,9.0
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,Eliminated Week 9,4,6,9.0,False,True,3,23.0,7.666666666666667
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,6,8.0,False,True,3,21.0,7.0
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,Eliminated Week 7,6,6,7.0,False,True,3,23.0,7.666666666666667
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,7,6,6.0,True,True,3,15.0,5.0
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,6,5.0,False,False,3,0.0,0.0
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,6,4.0,False,False,3,0.0,0.0
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,Withdrew,10,6,,False,False,3,0.0,0.0
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,6,2.0,False,False,3,0.0,0.0
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,Eliminated Week 1,12,6,1.0,False,False,3,0.0,0.0
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,Eliminated Week 1,13,6,1.0,False,False,3,0.0,0.0
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,7,,False,True,3,30.0,10.0
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2nd Place,2,7,,False,True,3,21.0,7.0
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,7,,False,True,3,25.0,8.333333333333334
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,Eliminated Week 9,4,7,9.0,False,True,3,22.0,7.333333333333333
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,7,8.0,False,True,3,25.0,8.333333333333334
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,Eliminated Week 7,6,7,7.0,True,True,3,24.0,8.0
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,7,7,6.0,False,False,3,0.0,0.0
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,7,5.0,False,False,3,0.0,0.0
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,7,4.0,False,False,3,0.0,0.0
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,Withdrew,10,7,,False,False,3,0.0,0.0
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,7,2.0,False,False,3,0.0,0.0
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,Eliminated Week 1,12,7,1.0,False,False,3,0.0,0.0
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,Eliminated Week 1,13,7,1.0,False,False,3,0.0,0.0
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,8,,False,True,3,27.5,9.166666666666666
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2nd Place,2,8,,False,True,3,27.0,9.0
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,8,,False,True,3,25.0,8.333333333333334
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,Eliminated Week 9,4,8,9.0,False,True,3,24.0,8.0
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,8,8.0,True,True,3,24.0,8.0
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,Eliminated Week 7,6,8,7.0,False,False,3,0.0,0.0
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,7,8,6.0,False,False,3,0.0,0.0
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,8,5.0,False,False,3,0.0,0.0
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,8,4.0,False,False,3,0.0,0.0
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,Withdrew,10,8,,False,False,3,0.0,0.0
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,8,2.0,False,False,3,0.0,0.0
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,Eliminated Week 1,12,8,1.0,False,False,3,0.0,0.0
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,Eliminated Week 1,13,8,1.0,False,False,3,0.0,0.0
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,9,,False,True,3,24.5,8.166666666666666
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2nd Place,2,9,,False,True,3,24.5,8.166666666666666
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,9,,False,True,3,28.5,9.5
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,Eliminated Week 9,4,9,9.0,True,True,3,23.0,7.666666666666667
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,9,8.0,False,False,3,0.0,0.0
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,Eliminated Week 7,6,9,7.0,False,False,3,0.0,0.0
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,7,9,6.0,False,False,3,0.0,0.0
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,9,5.0,False,False,3,0.0,0.0
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,9,4.0,False,False,3,0.0,0.0
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,Withdrew,10,9,,False,False,3,0.0,0.0
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,9,2.0,False,False,3,0.0,0.0
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,Eliminated Week 1,12,9,1.0,False,False,3,0.0,0.0
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,Eliminated Week 1,13,9,1.0,False,False,3,0.0,0.0
Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,7,1st Place,1,10,,False,True,3,30.0,10.0
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2nd Place,2,10,,False,True,3,27.5,9.166666666666666
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,10,,False,True,3,27.5,9.166666666666666
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,Eliminated Week 9,4,10,9.0,False,False,3,0.0,0.0
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,10,8.0,False,False,3,0.0,0.0
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,Eliminated Week 7,6,10,7.0,False,False,3,0.0,0.0
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,7,10,6.0,False,False,3,0.0,0.0
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,10,5.0,False,False,3,0.0,0.0
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,10,4.0,False,False,3,0.0,0.0
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,Withdrew,10,10,,False,False,3,0.0,0.0
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,10,2.0,False,False,3,0.0,0.0
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,Eliminated Week 1,12,10,1.0,False,False,3,0.0,0.0
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,Eliminated Week 1,13,10,1.0,False,False,3,0.0,0.0
Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,8,1st Place,1,1,,False,True,3,23.0,7.666666666666667
Gilles Marini,Cheryl Burke,Actor/Actress,,France,33,8,2nd Place,2,1,,False,True,3,24.0,8.0
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,8,3rd Place,3,1,,False,True,3,23.0,7.666666666666667
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,Eliminated Week 10,4,1,10.0,False,True,3,14.0,4.666666666666667
Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,8,Eliminated Week 9,5,1,9.0,False,True,3,21.0,7.0
Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,8,Eliminated Week 8,6,1,8.0,False,True,3,20.0,6.666666666666667
Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,8,Eliminated Week 7,7,1,7.0,False,True,3,16.0,5.333333333333333
Steve-O,Lacey Schwimmer,TV Personality,,England,34,8,Eliminated Week 6,8,1,6.0,False,True,3,17.0,5.666666666666667
